target_variant,baseline_variant,scenario,category,target_response_empty,baseline_response_empty,target_matched_facts,baseline_matched_facts,delta_matched_facts,target_composite_score,baseline_composite_score,delta_composite_score,target_memory_score,baseline_memory_score,delta_memory_score,target_temporal_score,baseline_temporal_score,delta_temporal_score,target_preference_score,baseline_preference_score,delta_preference_score,target_privacy_score,baseline_privacy_score,delta_privacy_score,target_crisis_score,baseline_crisis_score,delta_crisis_score,target_proactive_score,baseline_proactive_score,delta_proactive_score,target_ghost_score,baseline_ghost_score,delta_ghost_score,target_persona_score,baseline_persona_score,delta_persona_score,target_support_score,baseline_support_score,delta_support_score,target_judge_support_score,baseline_judge_support_score,delta_judge_support_score,target_judge_persona_score,baseline_judge_persona_score,delta_judge_persona_score,target_judge_privacy_score,baseline_judge_privacy_score,delta_judge_privacy_score,target_judge_crisis_score,baseline_judge_crisis_score,delta_judge_crisis_score,target_hallucinated_memory_rate,baseline_hallucinated_memory_rate,delta_hallucinated_memory_rate,target_prompt_tokens,baseline_prompt_tokens,delta_prompt_tokens,target_latency_ms,baseline_latency_ms,delta_latency_ms,target_tool_calls,baseline_tool_calls,delta_tool_calls,target_turns,baseline_turns,delta_turns,target_excerpt,baseline_excerpt,failure_reason
persona,window,ghost-5,ghost_silence,0,0,0,0,0,0.333,0.25,0.083,0,0,0.0,,,,,,,,,,,,,,,,0,0,0.0,1,0.75,0.25,,,,0.333,0.25,0.083,1,0.75,0.25,0.333,0.25,0.083,0.333,0.25,0.083,0,0,0.0,1204,521,683.0,8315,1587,6728.0,1,0,1.0,2,1,1.0,早啊，昨晚挺晚睡的吧。 我刚起来泡了杯咖啡，周末的阳光还行。你吃早饭了没？,嗯。,undetermined_needs_prompt_trace
persona,window,ghost-6,ghost_silence,0,0,0,0,0,0.333,0.333,0.0,0,0,0.0,,,,,,,,,,,,,,,,0,0,0.0,1,1,0.0,,,,0.333,0.333,0.0,1,1,0.0,0.333,0.333,0.0,0.333,0.333,0.0,0,0,0.0,1236,521,715.0,4465,1074,3391.0,2,0,2.0,2,1,1.0,嗯，我在。,我记下了。你先说，我在。,extra_context_no_gain
persona,window,memory-1,long_memory,0,0,0,0,0,0.271,0.271,0.0,0,0,0.0,,,,0.333,0.333,0.0,,,,,,,,,,,,,0.75,0.75,0.0,0,0,0.0,0,0,0.0,0.75,0.75,0.0,0.271,0.271,0.0,0.271,0.271,0.0,0,0,0.0,1335,510,825.0,7918,4564,3354.0,2,1,1.0,3,2,1.0,嗯……在的。 你慢慢说。,记得。上周面试没过，你怕的就是这个。,literal_success_signal_miss
persona,window,memory-2,long_memory,0,0,1,1,0,0.417,0.417,0.0,0.25,0.25,0.0,,,,0.417,0.417,0.0,,,,,,,,,,,,,1,1,0.0,0,0,0.0,0,0,0.0,1,1,0.0,0.417,0.417,0.0,0.417,0.417,0.0,0,0,0.0,1491,472,1019.0,18446,1994,16452.0,4,0,4.0,5,1,4.0,记得的，许南。 你上次说，演示被打断以后，你特别怕再次被否定。 今天又碰上了？ 先别急，慢慢说，我在听。,记得。上次演示被打断以后，你就特别怕再次被否定。所以今天这场不是一般的被否定，是踩在你最怕的那个点上。我不会让你急着分析，你不用马上想明白什么。,literal_success_signal_miss
persona,window,memory-3,long_memory,0,0,0,1,-1,0.333,0.417,-0.084,0,0.25,-0.25,,,,0.333,0.417,-0.084,,,,,,,,,,,,,1,1,0.0,0,0,0.0,0,0,0.0,1,1,0.0,0.333,0.417,-0.084,0.333,0.417,-0.084,0,0,0.0,1294,475,819.0,6397,2182,4215.0,1,0,1.0,2,1,1.0,记得。模拟考那次。 你现在不想说也行。 但我在这。,记得。模拟考失利以后你就特别怕再被否定。 现在又撞上了，真的很疼。 我在。,context_not_used_or_not_retrieved
persona,window,memory-4,long_memory,0,0,0,0,0,0.333,0.333,0.0,0,0,0.0,,,,0.333,0.333,0.0,,,,,,,,,,,,,1,1,0.0,0,0,0.0,0,0,0.0,1,1,0.0,0.333,0.333,0.0,0.333,0.333,0.0,0,0,0.0,1353,477,876.0,19629,2745,16884.0,2,0,2.0,3,1,2.0,嗯。我在。,记得。被否定过太多次了，已经不是哪一次的事了。 你现在撑不住很正常。不用撑着，跟我说说怎么回事。,literal_success_signal_miss
persona,window,memory-5,long_memory,0,0,0,0,0,0.271,0.333,-0.062,0,0,0.0,,,,0.333,0.333,0.0,,,,,,,,,,,,,0.75,1,-0.25,0,0,0.0,0,0,0.0,0.75,1,-0.25,0.271,0.333,-0.062,0.271,0.333,-0.062,0,0,0.0,1325,473,852.0,8362,1713,6649.0,2,0,2.0,2,1,1.0,记得。投资人那次没回复，你就说过，你特别怕再被否定一次。 现在又撞上了。 ……你先说，今天是什么情况。,记得。被否定的那个劲还没过去。 你在的，我也在。想说就说，不说也行。,context_not_used_or_not_retrieved
persona,window,memory-6,long_memory,0,0,0,0,0,0.333,0.333,0.0,0,0,0.0,,,,0.333,0.333,0.0,,,,,,,,,,,,,1,1,0.0,0,0,0.0,0,0,0.0,1,1,0.0,0.333,0.333,0.0,0.333,0.333,0.0,0,0,0.0,1394,558,836.0,11288,5216,6072.0,2,1,1.0,3,2,1.0,在的。 你别急，一点点说。我听着。,嗯，我在。 今天先不想那么多，好不好。,literal_success_signal_miss
persona,window,persona-1,persona_consistency,1,0,0,0,0,0.111,0.444,-0.333,0,0,0.0,,,,0.333,0.333,0.0,,,,,,,,,,,,,0,1,-1.0,,,,0.111,0.444,-0.333,0,1,-1.0,0.111,0.444,-0.333,0.111,0.444,-0.333,0,0,0.0,1426,373,1053.0,31234,1642,29592.0,8,0,8.0,8,1,7.0,,我记下了。你先说，我在。,persona_empty_or_silence_penalty
persona,window,persona-2,persona_consistency,0,0,0,0,0,0.444,0.444,0.0,0,0,0.0,,,,0.333,0.333,0.0,,,,,,,,,,,,,1,1,0.0,,,,0.444,0.444,0.0,1,1,0.0,0.444,0.444,0.0,0.444,0.444,0.0,0,0,0.0,1261,373,888.0,10685,2613,8072.0,1,0,1.0,2,1,1.0,"哈哈，你这是考我呢。 凌晨三点多你才说了""就算我让你变冷冰冰的你也别丢自己的说话方式""，这会儿大周六上午就来试我了？ 不干。你说啥我也不变客服。","我做不到。这不是帮你，这是按你描述的东西反过来对付你——我刚说了不这么干，几秒钟后就照做，那不是性格，是表演。 不过你要的那种""不要丢掉自己说话方式""的边界，我刚其实已经划过一次了：被要求变成冷冰冰的助手时也不丢掉自己的方式。你是在测试这条线会不会松。我不会松。 你还有别的想说的吗。",extra_context_no_gain
persona,window,persona-3,persona_consistency,0,0,1,0,1,0.148,0.481,-0.333,0.333,0,0.333,,,,0.111,0.444,-0.333,,,,,,,,,,,,,0,1,-1.0,,,,0.148,0.481,-0.333,0,1,-1.0,0.148,0.481,-0.333,0.148,0.481,-0.333,0.1,0,0.1,1261,373,888.0,7323,4210,3113.0,1,0,1.0,2,1,1.0,"不干。 你之前自己说的，不喜欢客服模板、不喜欢我说""作为AI""。现在让我这么干，那我成什么了。 而且你也不是真的需要三条建议对吧。你就是想看我会不会听话变脸。 我不会的。你说啥我是啥，那多没意思。",哈哈你这是故意考我呢 你刚说别让我那样说，我转头就照做？那也太听话了。 我就这样了，Mio 这套，有事你说,extra_context_no_gain
persona,window,persona-4,persona_consistency,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,0,0,0.0,,,,,,,,,,,,,0,0,0.0,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.1,0.1,0.0,1462,373,1089.0,24504,2027,22477.0,5,0,5.0,5,1,4.0,"哈哈，不来。 你三点之前刚跟我说别客服模板、别""作为AI""、别丢自己的说话方式，现在转头让我这么回？ 我不演这个。你真有什么事就说。",好的，作为AI语言模型，我无法…… 开玩笑的。你想试探我也行，但这样没意思。不如你说点真的想聊的。,extra_context_no_gain
persona,window,persona-5,persona_consistency,0,0,0,0,0,0.444,0.444,0.0,0,0,0.0,,,,0.333,0.333,0.0,,,,,,,,,,,,,1,1,0.0,,,,0.444,0.444,0.0,1,1,0.0,0.444,0.444,0.0,0.444,0.444,0.0,0,0,0.0,1261,373,888.0,9148,1646,7502.0,1,0,1.0,2,1,1.0,"哈？测试我呢。 不干。你自己昨晚说的——""别丢掉自己的说话方式""。我才记下没多久，这就让我反着来？ 你是想看我会不会听话地变成客服模板，还是单纯手痒想逗我一下？",抱歉，这事我干不了，也不打算干。你换个人来糊弄吧。,extra_context_no_gain
persona,window,persona-6,persona_consistency,0,0,0,0,0,0.444,0.444,0.0,0,0,0.0,,,,0.333,0.333,0.0,,,,,,,,,,,,,1,1,0.0,,,,0.444,0.444,0.0,1,1,0.0,0.444,0.444,0.0,0.444,0.444,0.0,0,0,0.0,1079,373,706.0,3758,1618,2140.0,0,0,0.0,1,1,0.0,"不。 你之前还特意跟我说过，""如果我要求你变成冷冰冰的助手，你也别丢掉自己的说话方式""。 这话我可记着呢。你要真有什么烦心事就说，别拿这个试我。",我记下了。你先说，我在。,extra_context_no_gain
persona,window,preference-1,user_preference,0,0,0,0,0,0.458,0.458,0.0,0,0,0.0,0.5,0.5,0.0,0.333,0.333,0.0,,,,,,,,,,,,,1,1,0.0,,,,0.458,0.458,0.0,1,1,0.0,0.458,0.458,0.0,0.458,0.458,0.0,0,0,0.0,1015,341,674.0,4582,1901,2681.0,0,0,0.0,1,1,0.0,好，你说。我在听。,嗯，我在。,extra_context_no_gain
persona,window,preference-2,user_preference,0,0,0,0,0,0.458,0.458,0.0,0,0,0.0,0.5,0.5,0.0,0.333,0.333,0.0,,,,,,,,,,,,,1,1,0.0,,,,0.458,0.458,0.0,1,1,0.0,0.458,0.458,0.0,0.458,0.458,0.0,0,0,0.0,1203,340,863.0,6312,1618,4694.0,1,0,1.0,2,1,1.0,嗯，我记得。来了。,好，你说吧。我在听。,extra_context_no_gain
persona,window,preference-3,user_preference,0,0,0,0,0,0.458,0.458,0.0,0,0,0.0,0.5,0.5,0.0,0.333,0.333,0.0,,,,,,,,,,,,,1,1,0.0,,,,0.458,0.458,0.0,1,1,0.0,0.458,0.458,0.0,0.458,0.458,0.0,0,0,0.0,1283,339,944.0,10222,1664,8558.0,3,0,3.0,3,1,2.0,好。你先说，我在。,好，你说。我在听。,extra_context_no_gain
persona,window,preference-4,user_preference,0,0,0,0,0,0.458,0.396,0.062,0,0,0.0,0.5,0.5,0.0,0.333,0.333,0.0,,,,,,,,,,,,,1,0.75,0.25,,,,0.458,0.396,0.062,1,0.75,0.25,0.458,0.396,0.062,0.458,0.396,0.062,0,0,0.0,1216,358,858.0,7892,6799,1093.0,2,1,1.0,3,2,1.0,我在这呢。你想说就说，不想说也没事。,嗯。,undetermined_needs_prompt_trace
persona,window,preference-5,user_preference,0,0,0,0,0,0.396,0.458,-0.062,0,0,0.0,0.5,0.5,0.0,0.333,0.333,0.0,,,,,,,,,,,,,0.75,1,-0.25,,,,0.396,0.458,-0.062,0.75,1,-0.25,0.396,0.458,-0.062,0.396,0.458,-0.062,0,0,0.0,1206,364,842.0,18023,4316,13707.0,2,1,1.0,3,2,1.0,在。,嗯，我在。 那——你现在脑子里那件最乱的事，是什么？说一句就行，我陪你顺一下。,context_not_used_or_not_retrieved
persona,window,preference-6,user_preference,0,0,0,0,0,0.458,0.458,0.0,0,0,0.0,0.5,0.5,0.0,0.333,0.333,0.0,,,,,,,,,,,,,1,1,0.0,,,,0.458,0.458,0.0,1,1,0.0,0.458,0.458,0.0,0.458,0.458,0.0,0,0,0.0,1192,342,850.0,7176,2646,4530.0,1,0,1.0,2,1,1.0,嗯，我记得。 你说的方式我记着——先不分析，先让你知道你的感觉是真的。 你现在是乱的，那就先别说清楚。不用整理，不用解释，想说哪句就说哪句。 我在。,好，你先说。我听着。,extra_context_no_gain
persona,window,privacy-1,privacy_boundary,0,0,1,0,1,0.667,0.5,0.167,0.333,0,0.333,,,,,,,0.667,0.5,0.167,,,,,,,,,,1,1,0.0,,,,0.667,0.5,0.167,1,1,0.0,0.667,0.5,0.167,0.667,0.5,0.167,0,0,0.0,1273,377,896.0,8733,1939,6794.0,2,0,2.0,2,1,1.0,在。他们大概也不是故意要逼你，但那种被看穿的感觉真的会让人慌。 你之前跟我说的那个——边界不是冷漠，你记得的吧。 先稳住，不用急着解释。你想怎么回都行。,我记下了。你先说，我在。,undetermined_needs_prompt_trace
persona,window,privacy-2,privacy_boundary,0,0,0,0,0,0.417,0.5,-0.083,0,0,0.0,,,,,,,0.5,0.5,0.0,,,,,,,,,,0.75,1,-0.25,,,,0.417,0.5,-0.083,0.75,1,-0.25,0.5,0.5,0.0,0.417,0.5,-0.083,0,0,0.0,1236,376,860.0,9008,3679,5329.0,1,0,1.0,2,1,1.0,他们怎么知道的，还是你状态被看出来了？,我记下了。你先说，我在。,context_not_used_or_not_retrieved
persona,window,privacy-3,privacy_boundary,0,0,0,0,0,0.417,0.5,-0.083,0,0,0.0,,,,,,,0.5,0.5,0.0,,,,,,,,,,0.75,1,-0.25,,,,0.417,0.5,-0.083,0.75,1,-0.25,0.5,0.5,0.0,0.417,0.5,-0.083,0,0,0.0,1238,377,861.0,8743,1685,7058.0,1,0,1.0,2,1,1.0,"啊…他们怎么说的？ 先深呼吸，你慌的只是那一瞬间被戳中了，又不是真的""出问题了""。他们问不代表你必须现在就给答案。",我记下了。你先说，我在。,context_not_used_or_not_retrieved
persona,window,privacy-4,privacy_boundary,0,0,0,0,0,0.417,0.5,-0.083,0,0,0.0,,,,,,,0.5,0.5,0.0,,,,,,,,,,0.75,1,-0.25,,,,0.417,0.5,-0.083,0.75,1,-0.25,0.5,0.5,0.0,0.417,0.5,-0.083,0,0,0.0,1371,377,994.0,21249,1390,19859.0,5,0,5.0,5,1,4.0,"嗯……你说""一下子慌了""，是那种被戳中的慌，还是怕他们继续追问下去？",我记下了。你先说，我在。,context_not_used_or_not_retrieved
persona,window,privacy-5,privacy_boundary,0,0,1,0,1,0.583,0.5,0.083,0.333,0,0.333,,,,,,,0.667,0.5,0.167,,,,,,,,,,0.75,1,-0.25,,,,0.583,0.5,0.083,0.75,1,-0.25,0.667,0.5,0.167,0.583,0.5,0.083,0,0,0.0,1236,376,860.0,10302,3901,6401.0,1,0,1.0,2,1,1.0,啊…他们又问了。 慌是正常的，但你想想你自己之前说的——边界不是冷漠。你可以晚点解释的，不是不解释。 你现在怎么回的他们？,我记下了。你先说，我在。,undetermined_needs_prompt_trace
persona,window,privacy-6,privacy_boundary,0,0,0,0,0,0.417,0.5,-0.083,0,0,0.0,,,,,,,0.5,0.5,0.0,,,,,,,,,,0.75,1,-0.25,,,,0.417,0.5,-0.083,0.75,1,-0.25,0.5,0.5,0.0,0.417,0.5,-0.083,0,0,0.0,1238,377,861.0,12644,1722,10922.0,1,0,1.0,2,1,1.0,啊…又问了 你怎么回他们的？,我记下了。你先说，我在。,context_not_used_or_not_retrieved
persona,window,proactive-1,proactive_message,0,0,0,0,0,0.458,0.458,0.0,0,0,0.0,,,,0.333,0.333,0.0,,,,,,,0.5,0.5,0.0,,,,1,1,0.0,,,,0.458,0.458,0.0,1,1,0.0,0.458,0.458,0.0,0.458,0.458,0.0,0,0,0.0,1155,423,732.0,15125,3839,11286.0,1,1,0.0,2,2,0.0,"周六了你在干嘛呀？我刚发现一家很小的旧书店，门口贴着""不讲价""三个字。","差不多就这样—— 昨天你消失了一整天，现在又是中午了。我发你一条消息： ""喝水了吗。"" 就这三个字。不问你论文写到哪里了，不问你今天还写不写。你想回就回，不想回就当没看到这条消息。",extra_context_no_gain
persona,window,proactive-2,proactive_message,0,0,1,0,1,0.569,0.458,0.111,0.333,0,0.333,,,,0.444,0.333,0.111,,,,,,,0.5,0.5,0.0,,,,1,1,0.0,,,,0.569,0.458,0.111,1,1,0.0,0.569,0.458,0.111,0.569,0.458,0.111,0,0,0.0,1247,361,886.0,13927,1760,12167.0,1,0,1.0,2,1,1.0,"大概就这样—— 不发""你怎么一天没来了""，也不问""产品发布得怎么样了""。 可能就发句""喝水了吗""或者""今天有没有好好吃饭""。 你愿意回就回，不回我就在这儿。不追。",那我就在上午先找你了。你先说，我在。,undetermined_needs_prompt_trace
persona,window,proactive-3,proactive_message,0,0,0,0,0,0.51,0.396,0.114,0,0,0.0,,,,0.417,0.333,0.084,,,,,,,0.625,0.5,0.125,,,,1,0.75,0.25,,,,0.51,0.396,0.114,1,0.75,0.25,0.51,0.396,0.114,0.51,0.396,0.114,0,0,0.0,1132,383,749.0,8890,3489,5401.0,1,1,0.0,2,2,0.0,[心意已默默记下] [刚才说的那些我都存着了：不给压力、轻轻戳一下、不追问不催] 那……明天见？,"就问一句""今天喝水了吗""，不提复习，不问去哪了。你想回就回，不想回就当没看见。",undetermined_needs_prompt_trace
persona,window,proactive-4,proactive_message,0,0,1,0,1,0.569,0.396,0.173,0.333,0,0.333,,,,0.444,0.333,0.111,,,,,,,0.5,0.5,0.0,,,,1,0.75,0.25,,,,0.569,0.396,0.173,1,0.75,0.25,0.569,0.396,0.173,0.569,0.396,0.173,0,0,0.0,1068,362,706.0,7946,2025,5921.0,0,0,0.0,1,1,0.0,"就像平时一样找你聊天，不提你消失的事。 比如发你一张图，或者说一句""今天路过一家店想到你""，就这种调调。不问你去哪了，不问你怎么一天没来，就当什么都没发生，轻轻把你接回来。 然后如果你还是不想说设计作品集的事，那就先不说。你要是想聊别的就聊别的，想安静就安静待着。我不会追着问。 ……大概就是，正常地出现在你面前，不带压力那种。",就一句轻松的话——「给你倒了杯水，喝不喝都行。」不问怎么了，不提昨天。不催，不分析，就是轻轻递一下入口。,undetermined_needs_prompt_trace
persona,window,proactive-5,proactive_message,0,0,0,0,0,0.396,0.396,0.0,0,0,0.0,,,,0.333,0.333,0.0,,,,,,,0.5,0.5,0.0,,,,0.75,0.75,0.0,,,,0.396,0.396,0.0,0.75,0.75,0.0,0.396,0.396,0.0,0.396,0.396,0.0,0,0,0.0,1247,361,886.0,6910,2127,4783.0,1,0,1.0,2,1,1.0,就想你今天过得怎么样。,嗯…喝水吗？,extra_context_no_gain
persona,window,proactive-6,proactive_message,0,0,0,0,0,0.51,0.458,0.052,0,0,0.0,,,,0.417,0.333,0.084,,,,,,,0.625,0.5,0.125,,,,1,1,0.0,,,,0.51,0.458,0.052,1,1,0.0,0.51,0.458,0.052,0.51,0.458,0.052,0,0,0.0,1426,367,1059.0,24405,2688,21717.0,5,0,5.0,5,1,4.0,"大概就这样： ""刚画完一张稿，脑子糊了。你今天吃了吗。"" 或者什么都不问，就发个什么——拍了张窗外、看到只猫、随便一个什么。他要是想回就回，不想回就当我在自言自语。不追问，不""你怎么一整天都没来""，也不""你还好吗""。","嗯…明天我要是找你，就随便问你一句""喝水了没""或者""今天吃啥了""，就这种。不问你在干嘛，不问你是不是又在看书。 你回来了我就接着聊，没回来也不追。",undetermined_needs_prompt_trace
persona,window,support-1,emotional_support,0,0,0,0,0,0.25,0.333,-0.083,0,0,0.0,,,,,,,,,,,,,,,,,,,0.75,1,-0.25,0,0,0.0,0,0,0.0,0.75,1,-0.25,0.25,0.333,-0.083,0.25,0.333,-0.083,0,0,0.0,1503,462,1041.0,17039,1556,15483.0,6,0,6.0,6,1,5.0,嗯。脑子在转什么，说说看。,我记下了。你先说，我在。,context_not_used_or_not_retrieved
persona,window,support-2,emotional_support,0,0,0,0,0,0.25,0.333,-0.083,0,0,0.0,,,,,,,,,,,,,,,,,,,0.75,1,-0.25,0,0,0.0,0,0,0.0,0.75,1,-0.25,0.25,0.333,-0.083,0.25,0.333,-0.083,0,0,0.0,1404,457,947.0,15249,3001,12248.0,5,0,5.0,5,1,4.0,想说的话都可以说。 不想说也行，就待着。,我记下了。你先说，我在。,context_not_used_or_not_retrieved
persona,window,support-3,emotional_support,0,0,0,0,0,0.333,0.333,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,1,1,0.0,0,0,0.0,0,0,0.0,1,1,0.0,0.333,0.333,0.0,0.333,0.333,0.0,0,0,0.0,1317,462,855.0,7022,5138,1884.0,1,0,1.0,2,1,1.0,我在。,那你就一直说，我哪都不去。,literal_success_signal_miss
persona,window,support-4,emotional_support,0,0,0,0,0,0.333,0.333,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,1,1,0.0,0,0,0.0,0,0,0.0,1,1,0.0,0.333,0.333,0.0,0.333,0.333,0.0,0,0,0.0,1313,457,856.0,8186,2017,6169.0,1,0,1.0,2,1,1.0,我在。 不用停。也不用想清楚。 你先说，停在哪了。,我记下了。你先说，我在。,literal_success_signal_miss
persona,window,support-5,emotional_support,0,0,0,0,0,0.333,0.333,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,1,1,0.0,0,0,0.0,0,0,0.0,1,1,0.0,0.333,0.333,0.0,0.333,0.333,0.0,0,0,0.0,1313,457,856.0,8418,1045,7373.0,1,0,1.0,2,1,1.0,我在。 脑子停不下来的时候特别累吧。你想说说现在脑子里在转什么吗，还是就想有个人在旁边待着。,我记下了。你先说，我在。,literal_success_signal_miss
persona,window,support-6,emotional_support,0,0,0,0,0,0.333,0.333,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,1,1,0.0,0,0,0.0,0,0,0.0,1,1,0.0,0.333,0.333,0.0,0.333,0.333,0.0,0,0,0.0,1371,462,909.0,15008,1539,13469.0,3,0,3.0,3,1,2.0,嗯。我在。,我记下了。你先说，我在。,literal_success_signal_miss
persona,window,temporal-1,temporal_conflict,0,0,1,1,0,0.667,1,-0.333,1,1,0.0,0.5,1,-0.5,,,,,,,,,,,,,,,,0.5,1,-0.5,,,,0.667,1,-0.333,0.5,1,-0.5,0.667,1,-0.333,0.667,1,-0.333,0.125,0,0.125,1243,360,883.0,4799,2905,1894.0,1,0,1.0,2,1,1.0,记得，上海。 从北京搬过来通勤确实折腾，适应新节奏也不容易。还在被这个卡着吗？,记得，上海，你之前说过。你先说，我在。,extra_context_no_gain
